percent	matchen	wrong
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.0	0	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	0
0.017636684009007045	1	1
0.017636684009007045	1	1
0.017636684009007045	1	1
0.017636684009007045	1	1
0.017636684009007045	1	2
0.017636684009007045	1	2
0.017636684009007045	1	2
0.017636684009007045	1	2
0.017636684009007045	1	3
0.017636684009007045	1	3
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.03527336801801409	2	0
0.052910052027021134	3	0
