percent	matchen	wrong
96.12077451433454	5450	11897
68.30871104512896	3873	1497
24.322428458077567	1379	389
78.04612434932164	4425	2059
8.977771350315638	509	167
0.08818342004503522	5	5
51.521126580238345	2921	830
1.641093465260097	93	46
0.0	0	0
21.555872641290936	1222	293
0.6172839437212263	35	9
0.0	0	0
94.21752891540527	5342	3012
84.4639688355582	4789	1930
66.49452673367091	3770	1446
92.36632780347551	5237	2537
68.16893053736005	3865	1455
7.781095320837839	441	206
89.5444519996643	5077	2259
49.12102606977735	2785	1083
99.57693525041853	5646	17521
97.53215037754603	5530	9442
97.46246915544782	5526	3236
97.79584078107561	5545	10325
97.90251061575754	5551	5553
98.11459633963449	5563	3839
97.26782084873744	5515	6495
97.86746281215123	5549	3443
93.19437528337751	5284	2436
97.5145028250558	5529	4390
96.54514143807548	5474	2770
78.31028771400452	4440	1833
97.19769864763532	5511	3570
93.37117723737444	5294	2421
48.82054612636566	2768	1125
96.15604782104492	5452	11886
68.30871104512896	3873	1497
24.322428458077567	1379	389
78.04612434932164	4425	2059
8.977771350315638	509	167
0.08818342004503522	5	5
51.521126580238345	2921	830
1.641093465260097	93	46
0.0	0	0
21.555872641290936	1222	293
0.6172839437212263	35	9
0.0	0	0
93.05306606292724	5276	2822
82.80590000833784	4695	1803
64.55404444422041	3660	1327
91.27219140189034	5175	2393
66.72294283594404	3783	1363
7.445777893066406	422	188
88.46839393207006	5016	2155
48.15056743962424	2730	1032
99.02975790841239	5615	15957
95.98011071341378	5442	8112
95.22367455618722	5399	2610
96.45566199166434	5469	9415
95.68050210135324	5425	4757
95.75169982910157	5429	3196
95.43337369646345	5411	5958
96.19218161446707	5454	2937
90.58521510532924	5136	2050
96.26251896449497	5458	4024
94.60596046447753	5364	2398
75.71681912967136	4293	1580
95.5043560573033	5415	3274
91.62513498578753	5195	2148
47.26830332960401	2680	962
90.75983467102051	5146	5198
46.561728072166446	2640	852
11.288838250296456	640	178
70.28640824045453	3985	1530
4.797850234167917	272	105
0.017636684009007045	1	2
40.497951194218224	2296	598
1.1644620691026961	66	30
0.0	0	0
14.448256659507752	819	204
0.5643738882882254	32	7
0.0	0	0
93.65359014783587	5310	2828
81.71329711505345	4633	1824
60.214979594094416	3414	1298
91.29048447608947	5176	2435
62.56023372582027	3547	1344
7.11111638375691	403	176
88.52173916952951	5019	2189
98.78413990565709	5601	11000
98.67789524623326	5595	12632
97.19856501988002	5511	6746
96.47545460292271	5470	2598
97.35621926443918	5520	9043
97.92059282575335	5552	4657
97.9558611188616	5554	3461
97.215550667899	5512	5491
97.79648034232004	5545	3168
90.3376621246338	5122	2296
97.58484006609235	5533	4068
96.03410769871303	5445	2640
71.18395468848092	4036	1644
96.91508189610073	5495	3406
92.06605712345669	5220	2329
37.02023360048022	2099	945
90.75983467102051	5146	5196
46.561728072166446	2640	852
11.288838250296456	640	178
70.28640824045453	3985	1530
4.797850234167917	272	105
0.017636684009007045	1	2
40.497951194218224	2296	598
1.1644620691026961	66	30
0.0	0	0
14.448256659507752	819	204
0.5643738882882254	32	7
0.0	0	0
92.47171145847865	5243	2660
80.31956332411085	4554	1705
58.574762671334405	3321	1189
90.37272060258049	5124	2299
61.166929936409	3468	1270
6.828709018230438	387	162
87.62204769338881	4968	2085
95.92764685494559	5439	8680
97.4786007472447	5527	11705
95.69836436680384	5426	5824
94.0596426827567	5333	2219
96.01560985020228	5444	8310
95.87493602207729	5436	3992
95.85772410801479	5435	2886
95.80417425973074	5432	5022
95.78675297328404	5431	2722
87.3923145021711	4955	1943
96.05066266741072	5446	3728
93.86587055751255	5322	2317
68.92624900000436	3908	1403
95.32777372087752	5405	3093
90.58478505270821	5136	2089
35.82050381728581	2031	814
84.97694367000035	4818	3007
