percent	matched	wrong
41.33873257637024	2344	10
34.19562771660941	1939	4
7.548070727075849	428	0
9.24033215386527	524	2
10.44071272441319	592	2
45.94364381517683	2605	11
7.617757119451251	432	4
17.72552924837385	1005	2
10.106045939241136	573	1
9.43584657055991	535	1
15.50135497365679	879	18
17.954376132147654	1018	1
20.68633075101035	1173	5
10.881624524933951	617	0
1.6225749628884452	92	0
37.10658935819353	2104	19
21.197595521381924	1202	2
20.12238691874913	1141	2
2.8046737023762294	159	1
6.507291293144226	369	2
33.03333785533905	1873	5
21.71318906205041	1231	1
2.909837809630803	165	0
10.8463565826416	615	3
41.760490955625265	2368	8
36.64974040303912	2078	2
3.22708306993757	183	1
11.674415057046073	662	2
15.274250643593925	866	1
44.35440660204206	2515	6
11.516754848616463	653	7
23.10493859563555	1310	4
15.485008917536055	878	1
10.687620994022915	606	1
22.643567040988376	1284	24
24.462963237081254	1387	5
28.34155515262059	1607	5
11.692911958694458	663	1
2.9629629339490617	168	1
42.38103921072824	2403	28
27.44598800114223	1556	8
29.207097050121853	1656	4
6.08465611253466	345	2
7.4955908366612025	425	0
49.06273999214172	2782	22
29.646427747181484	1681	6
6.490299820899963	368	0
12.609584137371607	715	2
7.972222307750157	452	1
50.93005608831133	2888	13
6.578053113392421	373	2
12.750892656190056	723	1
16.137598531586782	915	2
8.483245185443334	481	0
2.663139316013881	151	3
19.57870383603232	1110	5
16.031966587475367	909	3
14.991181836809432	850	1
0.3527336801801409	20	0
24.181012780325755	1371	9
28.147309705189297	1596	1
17.742095967701502	1006	1
2.4514991010938374	139	1
8.836199297223772	501	3
29.103207438332692	1650	5
29.38274872303009	1666	2
6.083365631103516	345	3
10.934765819140843	620	1
50.620457131522045	2870	6
30.230180464472088	1714	1
20.017867943218775	1135	1
8.060405601773944	457	0
19.082279477800643	1082	29
32.168495076043264	1824	7
22.78554239273071	1292	4
19.22421725477491	1090	1
42.3448838029589	2401	10
36.561761079515726	2073	2
4.373037379128593	248	3
8.835554054805211	501	2
13.067503312655857	741	3
45.675614840643746	2590	12
29.029402095930916	1646	2
12.751984218188694	723	0
0.49382715225219725	28	1
41.373543453216556	2346	21
29.8430554662432	1692	4
21.110482123919894	1197	2
5.413601725442069	307	3
7.513012421131134	426	1
47.61939777646746	2700	12
23.54565121446337	1335	1
5.784832453727722	328	3
11.745827433041164	666	2
8.92438805614199	506	1
51.34223871912275	2911	13
11.798081537655422	669	3
15.326074310711451	869	2
1.975308632850647	112	1
23.474663577760968	1331	7
28.763953624452864	1631	4
18.27118572848184	1036	1
1.957671959059579	111	0
8.483250497068678	481	2
28.288414083208355	1604	6
30.071009591647556	1705	4
3.4210919959204538	194	2
8.711876824923925	494	3
49.85813289029257	2827	12
31.377016806602477	1779	5
16.770766183308194	951	6
23.2266745533262	1317	1
8.096119921548025	459	1
22.31020681517465	1265	17
30.284875893592833	1717	10
21.817901648793903	1237	3
22.327832896368843	1266	1
8.871472678865706	503	1
44.40835441180638	2518	7
40.087366758074076	2273	3
7.124360125405448	404	1
10.158084920474462	576	3
11.869940185546875	673	1
47.30145354952131	2682	17
22.311529551233566	1265	6
28.466318559646606	1614	2
12.539252499171665	711	1
2.8044532639639717	159	1
38.958661913871765	2209	28
29.171318026951383	1654	4
6.543209900174822	371	3
13.755968618392945	780	2
8.11310064622334	460	1
52.47122804096767	2975	10
5.908074193341392	335	1
12.52248683656965	710	2
16.560642303739275	939	2
1.5343915258135115	87	0
30.47754590170724	1728	19
27.97184611729213	1586	3
16.967372274398805	962	2
0.7936507872172764	45	0
8.16622576032366	463	2
30.45879045895168	1727	4
8.448412707873754	479	5
16.279321214130945	923	6
11.9404762336186	677	2
11.781321229253496	668	2
15.572772857121059	883	5
19.999591418675013	1134	4
21.109191765104022	1197	3
3.192239843096052	181	2
38.88723378862653	2205	32
36.03048826966967	2043	6
14.514571864264353	823	3
42.87072046143668	2431	29
5.467372138159615	310	2
16.93165785244533	960	4
8.3950617483684	476	0
16.472028762953624	934	14
30.28399392877306	1717	14
21.957263667242866	1245	3
23.545425561496188	1335	1
8.765432136399406	497	1
45.59331934111459	2585	11
39.72120129721505	2252	8
1.7279649087360927	98	2
9.188712630953107	521	2
10.986804706709725	623	2
21.00401129041399	1191	24
23.580709675380163	1337	7
27.016819766589574	1532	6
10.617074281828744	602	1
2.610229253768921	148	0
41.672152103696554	2363	31
30.197552602631706	1712	1
6.101862628119332	346	1
12.998037488119943	737	3
8.624779564993721	489	2
52.97936400004796	3004	16
8.518088323729378	483	2
13.950192700113568	791	2
15.960769377435957	905	1
2.398809511320932	136	0
36.685271460669384	2080	22
27.12657571179526	1538	2
16.59525968347277	941	1
2.5220458473478047	143	0
11.9402718101229	677	2
34.269207211903165	1943	6
5.784832402638027	328	8
11.46429110765457	650	0
0.7407407283782959	42	1
27.44228310244424	1556	8
21.393975683620997	1213	2
1.0934744187763759	62	0
11.675054812431336	662	2
90.19787537711007	5114	346
87.86758569989885	4982	284
65.2569158417838	3700	109
74.55039465767997	4227	64
73.7567434992109	4182	25
89.77300851004465	5090	474
84.20066103254045	4774	170
84.18270162854876	4773	85
78.78194035121373	4467	106
56.947660967281884	3229	64
90.86780618940081	5152	262
85.11123548235211	4826	187
53.75362516811916	3048	60
75.46885702950614	4279	56
67.24443039212908	3813	19
90.5163627079555	5132	339
59.946359971591406	3399	87
79.13738931928363	4487	123
73.84360466003417	4187	35
46.5256062575749	2638	21
83.58234987940106	4739	246
87.07345096043179	4937	99
77.70871598379952	4406	105
37.86449944972992	2147	25
62.56006257874625	3547	22
89.70426336015974	5086	198
10.527170266423907	597	13
69.9988721030099	3969	40
71.60635876655579	4060	19
68.1633011681693	3865	15
68.2824136870248	3872	164
81.92958314078194	4645	139
79.8638647896903	4528	59
54.33393632003239	3081	48
64.41148411887032	3652	33
91.15197743007116	5168	209
83.81516500200544	4752	146
58.622452415738785	3324	60
71.55348073414393	4057	31
69.11829587391445	3919	13
75.83951279776437	4300	239
79.69860711778914	4519	93
46.17025912829808	2618	21
66.17296964100429	3752	24
87.18107773917062	4943	149
84.88845356532505	4813	117
51.23310608182635	2905	32
73.06633224487305	4143	26
91.34727107456752	5179	298
52.415312797682624	2972	100
76.3348453113011	4328	82
79.3966431753976	4502	23
68.39560059138707	3878	35
29.71770589692252	1685	110
88.1341200692313	4997	87
84.92725451333182	4815	95
8.85254009791783	502	10
58.55779357637678	3320	13
91.02766009739467	5161	211
88.32658037458147	5008	150
57.12331792627062	3239	57
72.24127943856375	4096	50
71.65797782625471	4063	21
77.61776336261204	4401	278
83.67156034197126	4744	197
85.33005409240722	4838	60
74.52885385240828	4226	53
49.04615714890616	2781	23
89.80762067522322	5092	209
87.71036120823452	4973	191
67.79686720711844	3844	92
71.03829582078116	4028	45
68.81847211292812	3902	15
91.5364946092878	5190	269
50.86295101302011	2884	42
79.20522060394288	4491	40
74.46092030661447	4222	19
40.738821608679636	2310	14
83.12186073235102	4713	211
85.06353056771415	4823	60
79.99887174878802	4536	50
65.66021525519234	3723	46
69.94851060594831	3966	9
87.83381794520787	4980	134
22.99763981955392	1304	34
69.24049484729767	3926	42
73.35113233838763	4159	15
87.05629820142474	4936	147
84.94548813956125	4816	105
57.68901485374996	3271	41
71.09618530273437	4031	26
91.69500961303712	5199	242
89.91494658333914	5098	204
67.72065314224788	3840	81
76.64919212886265	4346	64
76.24483874184745	4323	34
82.68258363178798	4688	278
85.73505278996059	4861	166
84.71256054469518	4803	53
78.41550581795829	4446	73
57.003581973484586	3232	51
90.86630090985979	5152	216
87.09329768589565	4938	98
85.86023515973773	4868	68
43.770820249829974	2482	19
69.24046205793108	3926	11
92.24502154758999	5230	234
44.07791941165924	2499	36
75.03033271176474	4254	92
75.57593571799141	4285	27
69.41815176010132	3936	19
18.51514188221523	1050	24
77.00639995847429	4366	88
78.3765117917742	4444	45
76.15511741638184	4318	20
12.079859869820732	685	9
91.53847863333566	5190	176
89.61560178484235	5081	99
70.39032030105591	3991	85
70.580817931039	4002	59
72.23744015693664	4096	11
91.23689150129046	5173	231
74.98136946133205	4251	166
78.6761202948434	4461	45
73.01603570665633	4140	17
41.44362761293139	2350	20
89.33190890720913	5065	161
83.93607308523995	4759	82
81.9402297428676	4646	39
51.250742598942345	2906	26
63.934401226043704	3625	25
88.02631579807826	4991	102
84.24024124145508	4776	92
50.0004953622818	2835	42
71.9565439088004	4080	34
90.7796223776681	5147	168
50.51112077236176	2864	110
78.34524467332022	4442	70
78.4821492603847	4450	23
75.53675820486886	4283	22
33.98534304073879	1927	90
76.49192485468728	4337	137
85.05071138654436	4822	35
79.08330211639404	4484	31
19.50534506525312	1106	18
91.02503089904785	5161	227
88.47093761989049	5016	91
56.87640440804618	3225	61
76.08481803621565	4314	41
68.53367207390922	3886	18
92.52613280160087	5246	231
69.76911106790816	3956	110
80.30549719674246	4553	75
75.25457132884435	4267	28
69.8035130909511	3958	19
71.55351332936968	4057	153
85.22509433201381	4832	93
79.61132700783865	4514	26
76.38460971287319	4331	33
48.92162468092782	2774	19
87.8362807410104	4980	195
87.76022257123675	4976	67
79.30978265489851	4497	48
70.82908690316337	4016	38
70.74087085723878	4011	13
90.54884027753558	5134	203
50.762475797108245	2878	77
75.62368376595633	4288	38
74.88287808554513	4246	25
70.23327816554479	3982	15
13.010711165836879	738	19
83.98941328866141	4762	52
80.98784869057792	4592	44
10.015937559945243	568	7
56.49042955126081	3203	15
89.01397018432617	5047	76
85.98321903773717	4875	107
58.11270865712847	3295	33
75.09451876367841	4258	22
91.7146035875593	5200	340
75.08198457445417	4257	164
82.40168162754604	4672	75
77.9732659476144	4421	43
74.95342464447022	4250	22
83.65440237862724	4743	224
86.58028534480503	4909	127
87.62626408168248	4968	67
52.8369423525674	2996	24
66.6857561656407	3781	28
91.76899784633092	5203	133
89.52741819109235	5076	149
49.54018892901284	2809	37
74.07297793797085	4200	36
69.30971833637783	3930	19
48.18229342188154	2732	85
81.44955340794155	4618	88
83.90234304155622	4757	31
75.82026811327253	4299	42
36.87684464454651	2091	17
82.030370589665	4651	136
88.3966864994594	5012	39
9.78663923399789	555	7
63.49348398957934	3600	39
71.07658064705986	4030	10
96.7206525530134	5484	2152
64.66795802456993	3667	156
